lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH w_7 PUSH w_1 PUSH w_5 DUP1 PUSH w_6 DUP7 SWAP4 POP PUSH w_7 SWAP3 POP PUSH w_7 SWAP2 POP PUSH w_7 SWAP1 POP,PUSH w_7 DUP3 DUP2 DUP3 DUP2,w_7 w_1 w_5 w_6,32,PUSH 0 PUSH 96 PUSH 0 DUP1 PUSH 0 DUP7 SWAP4 POP PUSH 0 SWAP3 POP PUSH 0 SWAP2 POP PUSH 0 SWAP1 POP,PUSH 0 DUP3 DUP2 DUP3 DUP2,"PUSH(w_7, PUSH(w_1, PUSH(w_5, DUP1(PUSH(w_6, DUP7(SWAP4(POP(PUSH(w_7, SWAP3(POP(PUSH(w_7, SWAP2(POP(PUSH(w_7, SWAP1(POP(P))))))))))))))))) ->  PUSH(w_7, DUP3(DUP2(DUP3(DUP2(P)))))"
SWAP2 SWAP3 POP DUP3 SWAP2,DUP3 SWAP4 POP,,6,SWAP2 SWAP3 POP DUP3 SWAP2,DUP3 SWAP4 POP,SWAP2(SWAP3(POP(DUP3(SWAP2(P))))) -> DUP3(SWAP4(POP(P)))
POP DUP2 SWAP1 POP,XOR POP DUP1,,2,SWAP2 POP DUP2 SWAP1 POP,SWAP2 XOR POP DUP1,POP(DUP2(SWAP1(POP(P)))) -> XOR(POP(DUP1(P)))
SWAP1 SWAP2 POP DUP2 SWAP1,DUP2 SWAP3 POP,,6,SWAP1 SWAP2 POP DUP2 SWAP1,DUP2 SWAP3 POP,SWAP1(SWAP2(POP(DUP2(SWAP1(P))))) -> DUP2(SWAP3(POP(P)))
SWAP1 POP SWAP2 SWAP1 POP,SWAP3 SWAP2 POP POP,,3,SWAP1 POP SWAP2 SWAP1 POP,SWAP3 SWAP2 POP POP,SWAP1(POP(SWAP2(SWAP1(POP(P))))) -> SWAP3(SWAP2(POP(POP(P))))
DUP4 DUP3 SWAP1,DUP2 DUP5,,3,DUP4 DUP3 SWAP1 PUSH 0,DUP2 DUP5 PUSH 0,DUP4(DUP3(SWAP1(P))) -> DUP2(DUP5(P))
DUP2 SWAP1 POP POP,POP,,8,DUP2 SWAP1 POP POP POP,POP POP,DUP2(SWAP1(POP(POP(P)))) -> POP(P)
PUSH 1 ISZERO ISZERO PUSH w_6 PUSH w_9 DUP4 PUSH w_8 AND PUSH w_8 AND DUP2,PUSH 1 PUSH w_6 PUSH w_9 PUSH w_8 DUP5 AND PUSH w_9,w_6 w_9 w_8,12,PUSH 1 ISZERO ISZERO PUSH 6 PUSH 0 DUP4 PUSH 4294967295 AND PUSH 4294967295 AND DUP2,PUSH 1 PUSH 6 PUSH 0 PUSH 4294967295 DUP5 AND PUSH 0,"PUSH(1, ISZERO(ISZERO(PUSH(w_6, PUSH(w_9, DUP4(PUSH(w_8, AND(PUSH(w_8, AND(DUP2(P))))))))))) ->  PUSH(1, PUSH(w_6, PUSH(w_9, PUSH(w_8, DUP5(AND(PUSH(w_9, P)))))))"
DUP1 PUSH w_1 SSTORE POP,PUSH w_1 SSTORE,w_1,5,DUP1 PUSH 1 SSTORE POP,PUSH 1 SSTORE,"DUP1(PUSH(w_1, SSTORE(POP(P)))) -> PUSH(w_1, SSTORE(P))"
PUSH w_3 DUP1 PUSH w_4 DUP1 DUP7 SWAP4 POP PUSH w_5 SWAP3 POP PUSH w_6 SWAP2 POP PUSH w_6 SWAP1 POP,DUP3 PUSH w_5 PUSH w_6 DUP1,w_3 w_4 w_5 w_6,32,PUSH 0 DUP1 PUSH 0 DUP1 DUP7 SWAP4 POP PUSH 0 SWAP3 POP PUSH 0 SWAP2 POP PUSH 0 SWAP1 POP,DUP3 PUSH 0 PUSH 0 DUP1,"PUSH(w_3, DUP1(PUSH(w_4, DUP1(DUP7(SWAP4(POP(PUSH(w_5, SWAP3(POP(PUSH(w_6, SWAP2(POP(PUSH(w_6, SWAP1(POP(P)))))))))))))))) ->  DUP3(PUSH(w_5, PUSH(w_6, DUP1(P))))"
PUSH w_3 DUP1 PUSH w_4 DUP1 DUP5 SWAP4 POP PUSH w_5 SWAP3 POP PUSH w_6 SWAP2 POP PUSH w_5 SWAP1 POP,DUP1 PUSH w_5 PUSH w_6 DUP2,w_3 w_4 w_5 w_6,32,PUSH 0 DUP1 PUSH 0 DUP1 DUP5 SWAP4 POP PUSH 0 SWAP3 POP PUSH 0 SWAP2 POP PUSH 0 SWAP1 POP,DUP1 PUSH 0 PUSH 0 DUP2,"PUSH(w_3, DUP1(PUSH(w_4, DUP1(DUP5(SWAP4(POP(PUSH(w_5, SWAP3(POP(PUSH(w_6, SWAP2(POP(PUSH(w_5, SWAP1(POP(P)))))))))))))))) ->  DUP1(PUSH(w_5, PUSH(w_6, DUP2(P))))"
PUSH w_1 PUSH w_8 DUP1 PUSH w_8 DUP1 DUP7 SWAP5 POP PUSH w_7 SWAP4 POP PUSH w_9 SWAP1 POP,DUP2 PUSH w_7 PUSH w_8 DUP1 PUSH w_9,w_1 w_8 w_7 w_9,24,PUSH 0 PUSH 96 PUSH 0 DUP1 PUSH 0 DUP1 DUP7 SWAP5 POP PUSH 0 SWAP4 POP PUSH 2 SWAP1 POP,PUSH 0 DUP2 PUSH 0 PUSH 0 DUP1 PUSH 2,"PUSH(w_1, PUSH(w_8, DUP1(PUSH(w_8, DUP1(DUP7(SWAP5(POP(PUSH(w_7, SWAP4(POP(PUSH(w_9, SWAP1(POP(P)))))))))))))) ->  DUP2(PUSH(w_7, PUSH(w_8, DUP1(PUSH(w_9, P)))))"
PUSH w_1 SWAP3 SWAP1 SWAP3,SWAP2 PUSH w_1,w_1,6,PUSH 32 SWAP3 SWAP1 SWAP3,SWAP2 PUSH 32,"PUSH(w_1, SWAP3(SWAP1(SWAP3(P)))) -> SWAP2(PUSH(w_1, P))"
DUP2 ADD SWAP1 DUP1 DUP1 CALLDATALOAD SWAP1 PUSH w_0 ADD SWAP1 SWAP3 SWAP2 SWAP1 POP POP POP,POP CALLDATALOAD,w_0,40,DUP2 ADD SWAP1 DUP1 DUP1 CALLDATALOAD SWAP1 PUSH 32 ADD SWAP1 SWAP3 SWAP2 SWAP1 POP POP POP PUSH 6360,POP CALLDATALOAD PUSH 6360,"DUP2(ADD(SWAP1(DUP1(DUP1(CALLDATALOAD(SWAP1(PUSH(w_0, ADD(SWAP1(SWAP3(SWAP2(SWAP1(POP(POP(POP(P)))))))))))))))) ->  POP(CALLDATALOAD(P))"
DUP1 PUSH w_9 PUSH w_8 SWAP2 POP PUSH w_3 PUSH w_4 PUSH w_5 DUP5 PUSH w_6,PUSH w_8 PUSH w_9 PUSH w_3 PUSH w_4 PUSH w_5 PUSH w_6 PUSH w_8 SWAP1,w_9 w_8 w_3 w_4 w_5 w_6,5,PUSH 0 DUP1 PUSH 0 PUSH 31 SWAP2 POP PUSH 21713 PUSH 1 PUSH 10 DUP5 PUSH 7543,PUSH 0 PUSH 31 PUSH 0 PUSH 21713 PUSH 1 PUSH 10 PUSH 7543 PUSH 31 SWAP1,"DUP1(PUSH(w_9, PUSH(w_8, SWAP2(POP(PUSH(w_3, PUSH(w_4, PUSH(w_5, DUP5(PUSH(w_6, P)))))))))) ->  PUSH(w_8, PUSH(w_9, PUSH(w_3, PUSH(w_4, PUSH(w_5, PUSH(w_6, PUSH(w_8, SWAP1(P))))))))"
PUSH 0 PUSH 13 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 19116 PUSH 1000 PUSH 43 PUSH 0 PUSH 13 DUP2 LT ISZERO ISZERO PUSH 19078,PUSH 19116 PUSH 1000 PUSH 43 PUSH 0 PUSH 1 PUSH 19078,"PUSH(0, PUSH(13, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
PUSH 1 PUSH w_9 PUSH w_3 PUSH 2 PUSH 3 DUP2 GT ISZERO,PUSH 1 PUSH w_9 PUSH w_3 PUSH 2 DUP4,w_9 w_3,9,PUSH 18504 PUSH 1 PUSH 20 PUSH 0 PUSH 2 PUSH 3 DUP2 GT ISZERO PUSH 18463,PUSH 18504 PUSH 1 PUSH 20 PUSH 0 PUSH 2 DUP4 PUSH 18463,"PUSH(1, PUSH(w_9, PUSH(w_3, PUSH(2, PUSH(3, DUP2(GT(ISZERO(P)))))))) ->  PUSH(1, PUSH(w_9, PUSH(w_3, PUSH(2, DUP4(P)))))"
