source bytecode,target bytecode,target opcode,target instruction count,source gas,target gas,gas saved,known optimal,translation validation
600180600083600019166000191681,600160016000836000,PUSH 1 PUSH 1 PUSH 0 DUP4 PUSH 0,5,33,15,18,true,true
339050,5033,POP CALLER,2,7,4,3,true,true
600460018003600181101515610cb9,600460006001610cb9,PUSH 4 PUSH 0 PUSH 1 PUSH 3257,4,30,12,18,false,true
600481905550,600455,PUSH 4 SSTORE,2,20011,20003,8,false,true
600560208190,600560056020,PUSH 5 PUSH 5 PUSH 32,3,12,9,3,true,true
600560209081,602060056020,PUSH 32 PUSH 5 PUSH 32,3,12,9,3,true,true
600581905550,600555,PUSH 5 SSTORE,2,20011,20003,8,false,true
600660209081,602060066020,PUSH 32 PUSH 6 PUSH 32,3,12,9,3,true,true
600681905550,600655,PUSH 6 SSTORE,2,20011,20003,8,false,true
600760208190,600760076020,PUSH 7 PUSH 7 PUSH 32,3,12,9,3,true,true
600760209081,602060076020,PUSH 32 PUSH 7 PUSH 32,3,12,9,3,true,true
66038d7ea4c6800034141515610768,66038d7ea4c680003414610768,PUSH 1000000000000000 CALLVALUE EQ PUSH 1896,4,17,11,6,true,true
600860208190,6008806020,PUSH 8 DUP1 PUSH 32,3,12,9,3,true,true
600860209081,602060086020,PUSH 32 PUSH 8 PUSH 32,3,12,9,3,true,true
600881905550,600855,PUSH 8 SSTORE,2,20011,20003,8,false,true
600960208190,600960096020,PUSH 9 PUSH 9 PUSH 32,3,12,9,3,true,true
600960209081,602060096020,PUSH 32 PUSH 9 PUSH 32,3,12,9,3,true,true
600981905550,600955,PUSH 9 SSTORE,2,20011,20003,8,false,true
600060010282600019161415156107a5,81156107a5,DUP2 ISZERO PUSH 1957,3,35,9,26,true,true
60008060008060006046945060009350,6046600080806000,PUSH 70 PUSH 0 DUP1 DUP1 PUSH 0,5,31,15,16,false,true
600a60209081,6020600a81,PUSH 32 PUSH 10 DUP2,3,12,9,3,true,true
600a81905550,600a55,PUSH 10 SSTORE,2,20011,20003,8,false,true
600b60208190,600b600b6020,PUSH 11 PUSH 11 PUSH 32,3,12,9,3,true,true
600b60209081,6020600b6020,PUSH 32 PUSH 11 PUSH 32,3,12,9,3,true,true
600b81905550,600b55,PUSH 11 SSTORE,2,20011,20003,8,false,true
600c60208190,600c600c6020,PUSH 12 PUSH 12 PUSH 32,3,12,9,3,true,true
600c60209081,6020600c6020,PUSH 32 PUSH 12 PUSH 32,3,12,9,3,true,true
600d60209081,6020600d81,PUSH 32 PUSH 13 DUP2,3,12,9,3,true,true
600d81905550,600d55,PUSH 13 SSTORE,2,20011,20003,8,false,true
6064601f6009600c81101515611738,6064601f60096001611738,PUSH 100 PUSH 31 PUSH 9 PUSH 1 PUSH 5944,5,27,15,12,false,true
600e60209081,6020600e81,PUSH 32 PUSH 14 DUP2,3,12,9,3,true,true
600e81905550,600e55,PUSH 14 SSTORE,2,20011,20003,8,false,true
61020e600084600019166000191681,61020e60008481,PUSH 526 PUSH 0 DUP5 DUP2,4,30,12,18,true,true
600f60209081,6020600f6020,PUSH 32 PUSH 15 PUSH 32,3,12,9,3,true,true
601081905550,601055,PUSH 16 SSTORE,2,20011,20003,8,false,true
601160209081,6020601181,PUSH 32 PUSH 17 DUP2,3,12,9,3,true,true
66038d7ea4c68000341015156104ca,3466038d7ea4c68000116104ca,CALLVALUE PUSH 1000000000000000 GT PUSH 1226,4,17,11,6,false,true
601460209081,602060146020,PUSH 32 PUSH 20 PUSH 32,3,12,9,3,true,true
806007600084600019166000191681,8060076000846000,DUP1 PUSH 7 PUSH 0 DUP5 PUSH 0,5,33,15,18,true,true
601560209081,602060156020,PUSH 32 PUSH 21 PUSH 32,3,12,9,3,true,true
601681905550,601655,PUSH 22 SSTORE,2,20011,20003,8,false,true
816001600085600019166000191681,8160016000856000,DUP2 PUSH 1 PUSH 0 DUP6 PUSH 0,5,33,15,18,true,true
816009600085600019166000191681,8160096000856000,DUP2 PUSH 9 PUSH 0 DUP6 PUSH 0,5,33,15,18,false,true
81600d600085600019166000191681,81600d6000856000,DUP2 PUSH 13 PUSH 0 DUP6 PUSH 0,5,33,15,18,false,true
601c60209081,6020601c6020,PUSH 32 PUSH 28 PUSH 32,3,12,9,3,true,true
905060008082600019166000191681,90506000808281,SWAP1 POP PUSH 0 DUP1 DUP3 DUP2,6,35,17,18,false,true
346706f05b59d3b2000081101561293b,34346706f05b59d3b20000111561293b,CALLVALUE CALLVALUE PUSH 500000000000000000 GT ISZERO PUSH 10555,6,17,16,1,false,true
602260209081,602060226020,PUSH 32 PUSH 34 PUSH 32,3,12,9,3,true,true
602460209081,602060246020,PUSH 32 PUSH 36 PUSH 32,3,12,9,3,true,true
60006000820160006131029190613159,6000613102826000613159,PUSH 0 PUSH 12546 DUP3 PUSH 0 PUSH 12633,5,27,15,12,true,true
60006001600084600019166000191681,6000600160008481,PUSH 0 PUSH 1 PUSH 0 DUP5 DUP2,5,33,15,18,true,true
60006001600203600281101515610c9e,600060016001610c9e,PUSH 0 PUSH 1 PUSH 1 PUSH 3230,4,30,12,18,false,true
60006004600083600019166000191681,6000600481836000,PUSH 0 PUSH 4 DUP2 DUP4 PUSH 0,5,33,15,18,true,true
60006004600084600019166000191681,6000600460008481,PUSH 0 PUSH 4 PUSH 0 DUP5 DUP2,5,33,15,18,true,true
60006007600083600019166000191681,6000600781836000,PUSH 0 PUSH 7 DUP2 DUP4 PUSH 0,5,33,15,18,true,true
60006008600083600019166000191681,60006008818383,PUSH 0 PUSH 8 DUP2 DUP4 DUP4,5,33,15,18,true,true
6000600a600083600019166000191681,6000600a81836000,PUSH 0 PUSH 10 DUP2 DUP4 PUSH 0,5,33,15,18,true,true
60008060008060008551945060009350,8051600060008082,DUP1 MLOAD PUSH 0 PUSH 0 DUP1 DUP3,6,33,17,16,false,true
600080600080600092506120e5612f4c,600060006000806120e5612f4c,PUSH 0 PUSH 0 PUSH 0 DUP1 PUSH 8421 PUSH 12108,6,26,18,8,false,true
6000806000806001600281111561061c,6000600081806001600161061c,PUSH 0 PUSH 0 DUP2 DUP1 PUSH 1 PUSH 1 PUSH 1564,7,30,21,9,false,true
